ID_UB,BUSINESS_UNIT_UB,CUST_TYPE_UB,HCP_PRACTICE_STATUS_CD_UB,PROFESSIONAL_DESIGNATION_CD_UB,ME_NUM_UB,NPI_NUM_UB,IMS_ID_UB,SALUTATION_UB,LAST_NAME_UB,FIRST_NAME_UB,MIDDLE_NAME_UB,ALT_NAME_UB,SUFFIX_UB,GENDER_CD_UB,CORP_SPEC_CD_UB,CORP_SPEC_DESC_UB,PRI_CORP_SPEC_CD_UB,PRI_CORP_SPEC_DESC_UB,SEC_CORP_SPEC_CD_UB,SEC_CORP_SPEC_DESC_UB,TER_CORP_SPEC_CD_UB,TER_CORP_SPEC_DESC_UB,ADDR_ID_UB,ADDR_VALID_STATUS_UB,ADDR_VERF_DELV_IND_UB,LINE1_ADDR_UB,LINE2_ADDR_UB,LINE3_ADDR_UB,LINE4_ADDR_UB,CITY_UB,STATE_UB,ZIP_CD_UB,ZIP_4_UB,MSA_UB,CBSA_UB,COUNTRY_UB,PDRP_FLG_UB,PDRP_FLG_EFF_DATE_UB,CONTACT_IND_UB,COUNTY_CD_UB,COUNTY_NM_UB
2032126524,1,NPRS,ACT,SW,,1111111121,,MS.,Last_name11,First_name12,Middle_name11,,,U,CSW,CLINICAL SOCIAL WORKER,CSW,CLINICAL SOCIAL WORKER,BHAV,BEHAVIORAL HEALTH & SOCIAL SERVICES,UNSPEC,UNSPECIFIED VALUE,2027003977,Y,Y,5960 Crooked Creek Rd,,,,Peachtree Corners,GA,30092,6219,,,US,U,,UNSPEC,135,GWINNETT
2032394903,1,PRES,ACT,NP,,1111111122,7363253,MS.,Last_name12,First_name13,Middle_name12,,,F,NRP,NURSE PRACTITIONER,NRP,NURSE PRACTITIONER,ARN,ADVANCED REGISTERED NURSE,RN,REGISTERED NURSE,1000811584,Y,Y,501 6th Ave S,,,,Saint Petersburg,FL,33701,4634,,,US,U,,UNSPEC,12103,PINELLAS
2005814774,1,NPRS,ACT,RN,,1111111123,5534475,MR.,Last_name13,First_name14,Middle_name13,,,M,RN,REGISTERED NURSE,RN,REGISTERED NURSE,UNSPEC,UNSPECIFIED VALUE,UNSPEC,UNSPECIFIED VALUE,2027002841,Y,Y,1300 Hospital Loop,,,,Belcourt,ND,58316,,,,US,U,,UNSPEC,38079,ROLETTE
2071687452,1,NPRS,ACT,,,1111111124,,,Last_name14,First_name15,Middle_name14,,,,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,1000811463,Y,Y,2321 W Dayton Airport Rd,,,,Shelton,WA,98584,6319,,,US,U,,UNSPEC,45,MASON
2073543268,1,NPRS,ACT,UNSPEC,,1111111125,,,Last_name15,First_name16,Middle_name15,,,U,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,1000811523,Y,Y,100 Sw Market St,,,,Portland,OR,97201,5702,,,US,U,,UNSPEC,41051,MULTNOMAH
2056756524,1,NPRS,ACT,CRP,,1111111126,,MS.,Last_name16,First_name17,Middle_name16,,,F,CRP,CHIROPRACTIC,CRP,CHIROPRACTIC,UNSPEC,UNSPECIFIED VALUE,UNSPEC,UNSPECIFIED VALUE,1000811732,Y,Y,4666 Commercial St Se,,,,Salem,OR,97302,1902,,,US,U,,UNSPEC,47,MARION
2071351704,1,NPRS,ACT,,,1111111127,,,Last_name17,First_name18,Middle_name17,,,,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,1000811956,Y,Y,2116 E Section St,,,,Mount Vernon,WA,98274,9124,,,US,U,,UNSPEC,57,SKAGIT
2111002441,1,NPRS,ACT,MD,,1111111128,,,Last_name18,First_name19,Middle_name18,,,,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,2027002829,Y,Y,1664 N Virginia St,,,,Reno,NV,89557,1,,,US,U,,UNSPEC,32031,WASHOE
2028445573,1,PRES,ACT,NP,,1111111129,7197434,MS.,Last_name19,First_name20,Middle_name19,,,F,PD,PEDIATRICS,PD,PEDIATRICS,ARN,ADVANCED REGISTERED NURSE,RN,REGISTERED NURSE,1000811584,Y,Y,501 6th Ave S,,,,Saint Petersburg,FL,33701,4634,,,US,U,,UNSPEC,12103,PINELLAS
2053955398,1,PRES,ACT,MD,560686029,1111111130,711672,DR.,Last_name20,First_name21,Middle_name20,,,M,FM,FAMILY MEDICINE,FM,FAMILY MEDICINE,UNSPEC,UNSPECIFIED VALUE,UNSPEC,UNSPECIFIED VALUE,1007383255,Y,Y,1450 Eastside Rd,,,,Platteville,WI,53818,9800,,,US,U,,UNSPEC,55043,GRANT
2004848106,1,NPRS,ACT,PHR,,1111111131,4490265,MS.,Last_name21,First_name22,Middle_name21,,,F,PHT,PHARMACY TECHNICIAN,PHT,PHARMACY TECHNICIAN,UNSPEC,UNSPECIFIED VALUE,UNSPEC,UNSPECIFIED VALUE,1007385050,Y,Y,3918 Country Meadows Rd,,,,Granbury,TX,76049,8007,,,US,U,,UNSPEC,221,HOOD
2004854749,1,NPRS,ACT,PHR,,1111111132,4498213,MS.,Last_name22,First_name23,Middle_name22,,,F,PHT,PHARMACY TECHNICIAN,PHT,PHARMACY TECHNICIAN,UNSPEC,UNSPECIFIED VALUE,UNSPEC,UNSPECIFIED VALUE,1007395145,Y,Y,230 Cushgerlin Rd,,,,Saint Johnsbury,VT,5819,7600,,,US,U,,UNSPEC,5,CALEDONIA
2045609695,1,NPRS,ACT,,,1111111133,,MS.,Last_name23,First_name24,Middle_name23,,,U,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,1007397014,Y,Y,357 Mccaslin Blvd Ste 200,,,,Louisville,CO,80027,2932,,,US,U,,UNSPEC,13,BOULDER
2013316506,1,NPRS,ACT,,,1111111134,,MS.,Last_name24,First_name25,Middle_name24,,,U,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,1007397531,Y,Y,2603 G St Ste 100,,,,Bakersfield,CA,93301,2829,,,US,U,,UNSPEC,29,KERN
2053683044,1,NPRS,ACT,,,1111111135,,,Last_name25,First_name26,Middle_name25,,UNSPEC,U,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,2006415251,Y,Y,1057 N Garland Ave,,,,Fayetteville,AR,72701,1722,,,US,U,,UNSPEC,143,WASHINGTON
2022645269,1,NPRS,ACT,,,1111111136,,,Last_name26,First_name27,Middle_name26,,,U,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,1000811499,Y,Y,610 Nw 11th St,,,,Hermiston,OR,97838,6601,,,US,U,,UNSPEC,59,UMATILLA
2072769222,1,NPRS,ACT,COUN,,1111111137,,MR.,Last_name27,First_name28,Middle_name27,,,M,BHAV,BEHAVIORAL HEALTH & SOCIAL SERVICES,BHAV,BEHAVIORAL HEALTH & SOCIAL SERVICES,UNSPEC,UNSPECIFIED VALUE,UNSPEC,UNSPECIFIED VALUE,2027003004,Y,Y,3030 Nw Expressway Ste 200,,,,Oklahoma City,OK,73112,5466,,,US,U,,UNSPEC,40109,OKLAHOMA
2022522660,1,NPRS,ACT,,,1111111138,,,Last_name28,First_name29,Middle_name28,,,U,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,1000812058,Y,Y,915 Anderson Dr,,,,Aberdeen,WA,98520,1006,,,US,U,,UNSPEC,27,GRAYS HARBOR
2112601243,1,NPRS,ACT,OTHR,,1111111139,,,Last_name29,First_name30,Middle_name29,,,,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,1000812142,Y,Y,3916 State St,,,,Santa Barbara,CA,93105,5602,,,US,U,,UNSPEC,6083,SANTA BARBARA
2002621991,1,PRES,ACT,DDS,,1111111140,1850349,MR.,Last_name30,First_name31,Middle_name30,,,M,DGP,DENTIST,DGP,DENTIST,UNSPEC,UNSPECIFIED VALUE,UNSPEC,UNSPECIFIED VALUE,1000811463,Y,Y,2321 W Dayton Airport Rd,,,,Shelton,WA,98584,6319,,,US,U,,UNSPEC,53045,MASON
2000669969,1,PRES,ACT,MD,250183030,1111111141,,DR.,Last_name31,First_name32,Middle_name31,,,F,FM,FAMILY MEDICINE,FM,FAMILY MEDICINE,UNSPEC,UNSPECIFIED VALUE,UNSPEC,UNSPECIFIED VALUE,1000812089,Y,Y,7101 Ne 137th Ave,Kaiser Permanente Orchards Medical Offic,,,Vancouver,WA,98682,4933,,,US,U,,Y,53011,CLARK
2111609054,1,NPRS,ACT,NP,,1111111142,,,Last_name32,First_name33,Middle_name32,,,,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,1007383033,Y,Y,1250 N Wilson Ave,,,,Loveland,CO,80537,4461,,,US,U,,UNSPEC,8069,LARIMER
2112035760,1,NPRS,ACT,RN,,1111111143,,,Last_name33,First_name34,Middle_name33,,,,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,1000812097,Y,Y,14350 Se Eastgate Way,,,,Bellevue,WA,98007,6458,,,US,U,,UNSPEC,53033,KING
2040616341,1,NPRS,ACT,,,1111111144,,MR.,Last_name34,First_name35,Middle_name34,,,U,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,1007389944,Y,Y,1731 Prospect Ave,,,,East Meadow,NY,11554,2930,,,US,U,,UNSPEC,59,NASSAU
2043877538,1,NPRS,ACT,,,1111111145,,MS.,Last_name35,First_name36,Middle_name35,,,U,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,1007395555,Y,Y,Po Box 1208,,,,Montrose,CO,81402,1208,,,US,U,,UNSPEC,85,MONTROSE
2032957157,1,NPRS,ACT,,,1111111146,,MS.,Last_name36,First_name37,Middle_name36,,,U,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,1007396549,Y,Y,1303 Sepulveda Blvd,,,,Torrance,CA,90501,5002,,,US,U,,UNSPEC,37,LOS ANGELES
2080603945,1,NPRS,ACT,,,1111111147,,,Last_name37,First_name38,Middle_name37,,,,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,2006412757,Y,Y,4055 Valley View Ln,,,,Dallas,TX,75244,5074,,,US,U,,UNSPEC,48113,DALLAS
2073416183,1,NPRS,ACT,UNSPEC,,1111111148,,,Last_name38,First_name39,Middle_name38,,,U,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,2006413009,Y,Y,100 Mcclellen St,,,,Norwood,NJ,7648,1555,,,US,U,,UNSPEC,34003,BERGEN
2071588364,1,NPRS,ACT,,,1111111149,,,Last_name39,First_name40,Middle_name39,,,,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,2027003105,Y,Y,470 Lenox Ave Apt 15c,,,,New York,NY,10037,3037,,,US,U,,UNSPEC,61,NEW YORK
2111336952,1,NPRS,ACT,MD,,1111111150,,,Last_name40,First_name41,Middle_name40,,,,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,1000811887,Y,Y,1010 Three Springs Blvd,,,,Durango,CO,81301,8296,,,US,U,,UNSPEC,8067,LA PLATA
2038550476,1,NPRS,ACT,,,1111111151,,,Last_name41,First_name42,Middle_name41,,,U,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,1000812321,Y,Y,500 Ne Multnomah St,,,,Portland,OR,97232,2023,,,US,U,,UNSPEC,51,MULTNOMAH
2064005055,1,NPRS,ACT,DDS,,1111111152,7829773,MR.,Last_name42,First_name43,Middle_name42,,,U,DGP,DENTIST,DGP,DENTIST,UNSPEC,UNSPECIFIED VALUE,UNSPEC,UNSPECIFIED VALUE,1007394702,Y,Y,4 Reservoir Cir Ste 100,,,,Baltimore,MD,21208,6360,,,US,U,,UNSPEC,5,BALTIMORE
2085660845,1,NPRS,ACT,,,1111111153,,,Last_name43,First_name44,Middle_name43,,,,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,2037176919,Y,Y,1455 Edgewater St Nw,Polk,,,Salem,OR,97304,4633,,,US,U,,UNSPEC,41053,POLK
2051992742,1,NPRS,ACT,RN,,1111111154,2834970,MS.,Last_name44,First_name45,Middle_name44,,,F,RN,REGISTERED NURSE,RN,REGISTERED NURSE,UNSPEC,UNSPECIFIED VALUE,UNSPEC,UNSPECIFIED VALUE,1000811584,Y,Y,501 6th Ave S,,,,Saint Petersburg,FL,33701,4634,,,US,U,,UNSPEC,12103,PINELLAS
2028811309,1,NPRS,ACT,,,1111111155,,,Last_name45,First_name46,Middle_name45,,,U,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,1007390150,Y,Y,Po Box 416,,,,Ponte Vedra Beach,FL,32004,416,,,US,U,,UNSPEC,109,SAINT JOHNS
2039066394,1,NPRS,ACT,,,1111111156,,,Last_name46,First_name47,Middle_name46,,,U,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,1007390440,Y,Y,980 Averitt Rd,,,,Greenwood,IN,46143,9540,,,US,U,,UNSPEC,81,JOHNSON
2002186374,1,PRES,ACT,DDS,,1111111157,886143,MR.,Last_name47,First_name48,Middle_name47,,,M,DGP,DENTIST,DGP,DENTIST,UNSPEC,UNSPECIFIED VALUE,UNSPEC,UNSPECIFIED VALUE,1007396593,Y,Y,4101 E Wesley Ave Ste 4,,,,Denver,CO,80222,6050,,,US,U,,UNSPEC,31,DENVER
2004564085,1,NPRS,ACT,SW,,1111111158,4157676,MR.,Last_name48,First_name49,Middle_name48,,,M,CSW,CLINICAL SOCIAL WORKER,CSW,CLINICAL SOCIAL WORKER,UNSPEC,UNSPECIFIED VALUE,UNSPEC,UNSPECIFIED VALUE,1007396807,Y,Y,104 Green Ridge Rd,,,,Voorhees,NJ,8043,1262,,,US,U,,UNSPEC,7,CAMDEN
2022558589,1,NPRS,ACT,,,1111111159,,,Last_name49,First_name50,Middle_name49,,,U,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,2006412780,Y,N,445 Hilltop Ave,,,,Elkhart,KS,67950,,,,US,U,,UNSPEC,129,MORTON
2022225706,1,NPRS,ACT,,,1111111160,,,Last_name50,First_name51,Middle_name50,,,U,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,2006413025,N,N,11 Upper Riverdale Rd,,,,Riverdale,GA,30274,,,,US,U,,UNSPEC,,
2064128061,1,NPRS,ACT,,,1111111161,,,Last_name51,First_name52,Middle_name51,,,U,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,2006412757,Y,Y,4055 Valley View Ln,,,,Dallas,TX,75244,5074,,,US,U,,UNSPEC,113,DALLAS
2062148827,1,NPRS,ACT,UNSPEC,,1111111162,,,Last_name52,First_name53,Middle_name52,,,U,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,2006413123,Y,Y,700 E Southport Rd,,,,Indianapolis,IN,46227,8553,,,US,U,,UNSPEC,18097,MARION
2032289768,1,NPRS,ACT,,,1111111163,,,Last_name53,First_name54,Middle_name53,,,U,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,2006413400,Y,Y,420 E Murray Ave,,,,Visalia,CA,93291,5053,,,US,U,,UNSPEC,107,TULARE
2067021093,1,NPRS,ACT,,,1111111164,,,Last_name54,First_name55,Middle_name54,,,U,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,2006414273,Y,Y,4692 Nw 183rd St,,,,Miami Gardens,FL,33055,3054,,,US,U,,UNSPEC,86,MIAMI-DADE
2028249753,1,NPRS,ACT,PA,,1111111165,,,Last_name55,First_name56,Middle_name55,,,U,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,2006415085,Y,Y,310 Electric Ave,,,,Lewistown,PA,17044,1369,,,US,U,,UNSPEC,87,MIFFLIN
2031349938,1,NPRS,ACT,,,1111111166,,,Last_name56,First_name57,Middle_name56,,,U,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,2006415590,Y,Y,3916 Kennedy Blvd,,,,Union City,NJ,7087,2608,,,US,U,,UNSPEC,17,HUDSON
2069602082,1,NPRS,ACT,COUN,,1111111167,,MS.,Last_name57,First_name58,Middle_name57,,,F,BHAV,BEHAVIORAL HEALTH & SOCIAL SERVICES,BHAV,BEHAVIORAL HEALTH & SOCIAL SERVICES,UNSPEC,UNSPECIFIED VALUE,UNSPEC,UNSPECIFIED VALUE,2006415899,N,N,113 Cumberland Rd,,,,Cedar Bluff,VA,24609,,,,US,U,,UNSPEC,,
2045401854,1,NPRS,ACT,,,1111111168,,MS.,Last_name58,First_name59,Middle_name58,,,F,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,2027005824,Y,Y,1661 N Raymond Ave Ste 250,,,,Anaheim,CA,92801,1196,,,US,U,,UNSPEC,59,ORANGE
2064511872,1,NPRS,ACT,PT,,1111111169,,MS.,Last_name59,First_name60,Middle_name59,,,F,PHTH,PHYSICAL THERAPY,PHTH,PHYSICAL THERAPY,UNSPEC,UNSPECIFIED VALUE,UNSPEC,UNSPECIFIED VALUE,2027006988,Y,Y,8199 Navarre Pkwy Ste 12a,,,,Navarre,FL,32566,6941,,,US,U,,UNSPEC,12113,SANTA ROSA
2085644865,1,NPRS,ACT,NP,,1111111170,,,Last_name60,First_name61,Middle_name60,,,,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,2037176833,Y,Y,1500 Associates Dr,Dubuque,,,Dubuque,IA,52002,2201,,,US,U,,UNSPEC,19061,DUBUQUE
2012999232,1,NPRS,ACT,,,1111111171,,MR.,Last_name61,First_name62,Middle_name61,,,U,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,1007395555,Y,Y,Po Box 1208,,,,Montrose,CO,81402,1208,,,US,U,,UNSPEC,85,MONTROSE
2054234501,1,PRES,ACT,MD,354806027,1111111172,3692507,DR.,Last_name62,First_name63,Middle_name62,,,M,CD,CARDIOVASCULAR DISEASE,CD,CARDIOVASCULAR DISEASE,UNSPEC,UNSPECIFIED VALUE,UNSPEC,UNSPECIFIED VALUE,2006413604,Y,Y,185 Central Ave,,,,Bethpage,NY,11714,3927,,,US,U,,Y,36059,NASSAU
2010335038,1,NPRS,ACT,COUN,,1111111173,,MS.,Last_name63,First_name64,Middle_name63,,,F,BHAV,BEHAVIORAL HEALTH & SOCIAL SERVICES,BHAV,BEHAVIORAL HEALTH & SOCIAL SERVICES,UNSPEC,UNSPECIFIED VALUE,UNSPEC,UNSPECIFIED VALUE,2006415175,Y,Y,30 General St,,,,Lawrence,MA,1840,1809,,,US,U,,UNSPEC,25009,ESSEX
2015536961,1,NPRS,ACT,UNSPEC,,1111111174,,MS.,Last_name64,First_name65,Middle_name64,,,U,OS,OTHER SPECIALTY,OS,OTHER SPECIALTY,UNSPEC,UNSPECIFIED VALUE,UNSPEC,UNSPECIFIED VALUE,2006415941,Y,Y,1650 Champlin Ave,,,,Utica,NY,13502,4801,,,US,U,,UNSPEC,65,ONEIDA
2027104448,1,NPRS,ACT,PHR,,1111111175,7550612,MS.,Last_name65,First_name66,Middle_name65,,,F,PHR,PHARMACIST,PHR,PHARMACIST,UNSPEC,UNSPECIFIED VALUE,UNSPEC,UNSPECIFIED VALUE,2027004592,Y,Y,75 Retail Cir,,,,Morgantown,WV,26508,1646,,,US,U,,UNSPEC,54061,MONONGALIA
2069144993,1,NPRS,ACT,COUN,,1111111176,,MS.,Last_name66,First_name67,Middle_name66,,,F,BHAV,BEHAVIORAL HEALTH & SOCIAL SERVICES,BHAV,BEHAVIORAL HEALTH & SOCIAL SERVICES,UNSPEC,UNSPECIFIED VALUE,UNSPEC,UNSPECIFIED VALUE,2027005843,Y,Y,497 Rockaway Ave,,,,Valley Stream,NY,11581,1909,,,US,U,,UNSPEC,36059,NASSAU
2080403923,1,NPRS,ACT,,,1111111177,,,Last_name67,First_name68,Middle_name67,,,,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,NTSS,Non Trusted Source Specialty,2027007517,Y,Y,29077 Clemens Rd,,,,Westlake,OH,44145,1135,,,US,U,,UNSPEC,35,CUYAHOGA
